AN,element_symbol,EN,Endatastat.,MP,PN,PG,MN,AW,AR,IR,CoR,CrR,spdf
1,H,2.2,NA,14.01,1,1,92,1.00794,0.53,0.25,0.37,0.1,1
2,He,nodata,nodata,0.95,1,18,98,4.002602,0.31,0.31,0.32,nodata,1
3,Li,0.98,NA,453.69,2,1,1,6.941,1.67,1.45,1.34,0.9,1
4,Be,1.57,NA,1560,2,2,67,9.012182,1.12,1.05,0.9,0.41,1
5,B,2.04,NA,2349,2,13,72,10.811,0.87,0.85,0.82,0.25,2
6,C,2.55,NA,3800,2,14,77,12.0107,0.67,0.7,0.77,0.29,2
7,N,3.04,NA,63.15,2,15,82,14.0067,0.56,0.65,0.75,0.3,2
8,O,3.44,NA,54.36,2,16,87,15.9994,0.48,0.6,0.73,1.21,2
9,F,3.98,NA,53.53,2,17,93,18.9984032,0.42,0.5,0.71,1.19,2
10,Ne,nodata,nodata,24.56,2,18,99,20.1797,0.38,0.38,0.69,nodata,2
11,Na,0.93,NA,370.87,3,1,2,22.98976928,1.9,1.8,1.54,1.16,1
12,Mg,1.31,NA,923,3,2,68,24.305,1.45,1.5,1.3,0.86,1
13,Al,1.61,NA,933.47,3,13,73,26.9815386,1.18,1.25,1.18,0.53,2
14,Si,1.9,NA,1687,3,14,78,28.0855,1.11,1.1,1.11,0.4,2
15,P,2.19,NA,317.3,3,15,83,30.973762,0.98,1,1.06,0.31,2
16,S,2.58,NA,388.36,3,16,88,32.065,0.88,1,1.02,0.43,2
17,Cl,3.16,NA,171.6,3,17,94,35.453,0.79,1,0.99,1.67,2
18,Ar,nodata,nodata,83.8,3,18,100,39.948,0.71,0.71,0.97,nodata,2
19,K,0.82,NA,336.53,4,1,3,39.0983,2.43,2.2,1.96,1.52,1
20,Ca,1,NA,1115,4,2,7,40.078,1.94,1.8,1.74,1.14,1
21,Sc,1.36,NA,1814,4,3,11,44.955912,1.84,1.6,1.44,0.89,3
22,Ti,1.54,NA,1941,4,4,43,47.867,1.76,1.4,1.36,0.75,3
23,V,1.63,NA,2183,4,5,46,50.9415,1.71,1.35,1.25,0.68,3
24,Cr,1.66,NA,2180,4,6,49,51.9961,1.66,1.4,1.27,0.76,3
25,Mn,1.55,NA,1519,4,7,52,54.938045,1.61,1.4,1.39,0.81,3
26,Fe,1.83,NA,1811,4,8,55,55.845,1.56,1.4,1.25,0.69,3
27,Co,1.88,NA,1768,4,9,58,58.933195,1.52,1.35,1.26,0.54,3
28,Ni,1.91,NA,1728,4,10,61,58.6934,1.49,1.35,1.21,0.7,3
29,Cu,1.9,NA,1357.77,4,11,64,63.546,1.45,1.35,1.38,0.71,3
30,Zn,1.65,NA,692.88,4,12,69,65.38,1.42,1.35,1.31,0.74,3
31,Ga,1.81,NA,302.9146,4,13,74,69.723,1.36,1.3,1.26,0.76,2
32,Ge,2.01,NA,1211.4,4,14,79,72.64,1.25,1.25,1.22,0.53,2
33,As,2.18,NA,1090,4,15,84,74.9216,1.14,1.15,1.19,0.72,2
34,Se,2.55,NA,453,4,16,89,78.96,1.03,1.15,1.16,0.56,2
35,Br,2.96,NA,265.8,4,17,95,79.904,0.94,1.15,1.14,1.82,2
36,Kr,3,NA,115.79,4,18,101,83.798,0.88,0.88,1.1,nodata,2
37,Rb,0.82,NA,312.46,5,1,4,85.4678,2.65,2.35,2.11,1.66,1
38,Sr,0.95,NA,1050,5,2,8,87.62,2.19,2,1.92,1.32,1
39,Y,1.22,NA,1799,5,3,12,88.90585,2.12,1.85,1.62,1.04,3
